donor_code,donor_name,recipient_code,recipient_name,aidtype_code,aid_type,flow_type_code,flow_type_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1960,11577.186526,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1961,13715.946203,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1962,13959.237173,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1963,12940.544276,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1964,13174.039138,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1965,12053.19559,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1966,11910.267018,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1967,11718.767271,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1968,10550.557159,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1969,10176.231025,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1970,11509.619301,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1971,11993.38731,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1972,11286.543928,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1973,15465.068208,6,USD,constant,DAC2A.10.206,2025-05-21
20005,Official donors,10001,Africa,206,"Official development assistance (ODA), disbursements",D,Disbursements,1974,20331.496152,6,USD,constant,DAC2A.10.206,2025-05-21
