donor_code,donor_name,aidtype_code,aid_type,flows_code,fund_flows,sector_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
5,Germany,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,583694.521174,6,USD,constant,DAC1.40.1,2025-07-18
6,Italy,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,533791.086006,6,USD,constant,DAC1.40.1,2025-07-18
7,Netherlands,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,194838.041574,6,USD,constant,DAC1.40.1,2025-07-18
8,Norway,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,70770.510823,6,USD,constant,DAC1.40.1,2025-07-18
10,Sweden,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,115566.595847,6,USD,constant,DAC1.40.1,2025-07-18
11,Switzerland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,218216.292767,6,USD,constant,DAC1.40.1,2025-07-18
12,United Kingdom,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,867533.202624,6,USD,constant,DAC1.40.1,2025-07-18
18,Finland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,59735.407963,6,USD,constant,DAC1.40.1,2025-07-18
301,Canada,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,345566.976566,6,USD,constant,DAC1.40.1,2025-07-18
302,United States,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,4390301.100352,6,USD,constant,DAC1.40.1,2025-07-18
701,Japan,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,558364.212585,6,USD,constant,DAC1.40.1,2025-07-18
801,Australia,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,193432.307748,6,USD,constant,DAC1.40.1,2025-07-18
820,New Zealand,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1962,45505.42991,6,USD,constant,DAC1.40.1,2025-07-18
1,Austria,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,110213.719091,6,USD,constant,DAC1.40.1,2025-07-18
2,Belgium,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,146030.759298,6,USD,constant,DAC1.40.1,2025-07-18
3,Denmark,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,96529.305724,6,USD,constant,DAC1.40.1,2025-07-18
4,France,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,687196.51814,6,USD,constant,DAC1.40.1,2025-07-18
5,Germany,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,598457.106036,6,USD,constant,DAC1.40.1,2025-07-18
6,Italy,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,564329.047503,6,USD,constant,DAC1.40.1,2025-07-18
7,Netherlands,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,202600.0916,6,USD,constant,DAC1.40.1,2025-07-18
8,Norway,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,73976.454868,6,USD,constant,DAC1.40.1,2025-07-18
10,Sweden,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,123087.334312,6,USD,constant,DAC1.40.1,2025-07-18
11,Switzerland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,227727.317188,6,USD,constant,DAC1.40.1,2025-07-18
12,United Kingdom,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,911687.505376,6,USD,constant,DAC1.40.1,2025-07-18
18,Finland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,62217.111892,6,USD,constant,DAC1.40.1,2025-07-18
301,Canada,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,361457.937626,6,USD,constant,DAC1.40.1,2025-07-18
302,United States,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,4573833.432228,6,USD,constant,DAC1.40.1,2025-07-18
701,Japan,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,613674.916413,6,USD,constant,DAC1.40.1,2025-07-18
801,Australia,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,204784.238668,6,USD,constant,DAC1.40.1,2025-07-18
820,New Zealand,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1963,47892.528458,6,USD,constant,DAC1.40.1,2025-07-18
1,Austria,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,117115.957306,6,USD,constant,DAC1.40.1,2025-07-18
2,Belgium,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,155706.605724,6,USD,constant,DAC1.40.1,2025-07-18
3,Denmark,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,138374.712437,6,USD,constant,DAC1.40.1,2025-07-18
4,France,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,731910.548597,6,USD,constant,DAC1.40.1,2025-07-18
5,Germany,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,635914.898363,6,USD,constant,DAC1.40.1,2025-07-18
6,Italy,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,582103.771358,6,USD,constant,DAC1.40.1,2025-07-18
7,Netherlands,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,219256.071467,6,USD,constant,DAC1.40.1,2025-07-18
8,Norway,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,78114.078243,6,USD,constant,DAC1.40.1,2025-07-18
10,Sweden,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,130314.382771,6,USD,constant,DAC1.40.1,2025-07-18
11,Switzerland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,238371.260356,6,USD,constant,DAC1.40.1,2025-07-18
12,United Kingdom,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,957993.909291,6,USD,constant,DAC1.40.1,2025-07-18
18,Finland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,66449.287492,6,USD,constant,DAC1.40.1,2025-07-18
301,Canada,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,384789.409084,6,USD,constant,DAC1.40.1,2025-07-18
302,United States,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,4829254.990283,6,USD,constant,DAC1.40.1,2025-07-18
701,Japan,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,686906.599284,6,USD,constant,DAC1.40.1,2025-07-18
801,Australia,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,218818.53245,6,USD,constant,DAC1.40.1,2025-07-18
820,New Zealand,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1964,50520.073526,6,USD,constant,DAC1.40.1,2025-07-18
1,Austria,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,120855.024548,6,USD,constant,DAC1.40.1,2025-07-18
2,Belgium,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,161035.859992,6,USD,constant,DAC1.40.1,2025-07-18
3,Denmark,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,96414.717176,6,USD,constant,DAC1.40.1,2025-07-18
4,France,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,762326.855983,6,USD,constant,DAC1.40.1,2025-07-18
5,Germany,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,672910.218141,6,USD,constant,DAC1.40.1,2025-07-18
6,Italy,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,602158.908569,6,USD,constant,DAC1.40.1,2025-07-18
7,Netherlands,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,230891.724531,6,USD,constant,DAC1.40.1,2025-07-18
8,Norway,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,82580.780173,6,USD,constant,DAC1.40.1,2025-07-18
10,Sweden,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,135768.621393,6,USD,constant,DAC1.40.1,2025-07-18
11,Switzerland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,247988.296661,6,USD,constant,DAC1.40.1,2025-07-18
12,United Kingdom,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,969738.418977,6,USD,constant,DAC1.40.1,2025-07-18
18,Finland,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,69298.863446,6,USD,constant,DAC1.40.1,2025-07-18
301,Canada,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,407642.461601,6,USD,constant,DAC1.40.1,2025-07-18
302,United States,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,5136427.952791,6,USD,constant,DAC1.40.1,2025-07-18
701,Japan,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,719638.106735,6,USD,constant,DAC1.40.1,2025-07-18
801,Australia,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,230372.835052,6,USD,constant,DAC1.40.1,2025-07-18
820,New Zealand,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1965,52461.823764,6,USD,constant,DAC1.40.1,2025-07-18
1,Austria,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,126122.008449,6,USD,constant,DAC1.40.1,2025-07-18
2,Belgium,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,166851.702105,6,USD,constant,DAC1.40.1,2025-07-18
3,Denmark,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,115047.72842,6,USD,constant,DAC1.40.1,2025-07-18
4,France,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,806757.118583,6,USD,constant,DAC1.40.1,2025-07-18
5,Germany,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,692711.364582,6,USD,constant,DAC1.40.1,2025-07-18
6,Italy,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,636796.425824,6,USD,constant,DAC1.40.1,2025-07-18
7,Netherlands,1,Gross National Income (GNI),1140,"Disbursements, net",Not applicable,1966,238511.215631,6,USD,constant,DAC1.40.1,2025-07-18
