donor_code,donor_name,recipient_code,recipient_name,aidtype_code,aid_type,flow_type_code,flow_type_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2002,21579.985542,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2003,26637.963209,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2004,27085.195774,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2005,32259.415542,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2006,42159.944595,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2007,29995.670791,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2008,33305.310528,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2009,35058.626617,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2010,36823.009143,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2011,37988.9446,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2012,38105.727013,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2013,37965.25147,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2014,38497.607892,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2015,38116.524768,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2016,41208.471063,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2017,43744.835311,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2018,42993.444542,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2019,41357.605184,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2020,46544.713599,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2021,51466.750018,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2022,44113.930093,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,2023,47357.646092,6,USD,constant,ONE.10.206_106,2025-07-18
