year,Africa,Developing countries,share
1960,1137.746153846154,4057.2000000000003,28.04
1961,1358.2635122520421,4970.33,27.33
1962,1420.9328401826483,5072.780000000001,28.01
1963,1481.51,5540.360000000001,26.74
1964,1510.3700000000001,5272.33,28.65
1965,1383.78,5471.320000000001,25.29
1966,1268.950426269778,5402.389999999999,23.49
1967,1372.4800592057761,5523.1900000000005,24.85
1968,1136.1426587170142,5051.17,22.49
1969,1054.1081685847116,4792.33,22.0
1970,1057.597856348677,4864.91,21.74
1971,1162.7229757022535,5415.7300000000005,21.47
1972,1130.4996717867925,5429.929999999999,20.82
1973,1291.4264077875678,5698.4400000000005,22.66
1974,1682.243756097561,6473.290000000001,25.99
1975,2838.1602046300127,10036.92,28.28
1976,3028.8276622755984,9966.51,30.39
1977,3682.070445763053,10970.119999999999,33.56
1978,5158.883825542339,14537.93,35.49
1979,5586.608859102083,15766.6,35.43
1980,7120.592117459892,19464.39,36.58
1981,7140.606612652797,18767.82,38.05
1982,7438.095101131299,19806.89,37.55
1983,7516.967794448546,21071.03,35.67
1984,8354.79970654591,21911.01,38.13
1985,8412.318138153609,22395.14,37.56
1986,9933.754380478993,27331.489999999998,36.35
1987,11492.239571233677,30697.53,37.44
1988,10449.236554276053,28831.170000000002,36.24
1989,13437.918320998673,34005.71,39.52
1990,16496.374224265077,38734.759999999995,42.59
1991,16697.672645199316,42318.57,39.46
1992,17995.970540495175,45423.38,39.62
1993,15603.828907803758,41195.439999999995,37.88
1994,16228.356862608802,42451.869999999995,38.23
1995,14042.046371530389,39511.51,35.54
1996,13044.712056984941,38269.28,34.09
1997,12078.112510050792,32818.94,36.8
1998,11730.866146917553,34536.51,33.97
1999,12208.109903684232,39888.72000000001,30.61
2000,13166.282067077329,40123.85999999999,32.81
2001,13039.704519228504,39755.090000000004,32.8
2002,15276.067252852448,43040.58,35.49
2003,20934.264563815974,50923.73,41.11
2004,22555.601259012554,58777.48000000001,38.37
2005,27559.41576333703,82785.55,33.29
2006,36781.48080670354,78444.78,46.89
2007,27918.405473103554,72061.23999999999,38.74
2008,32085.704568433324,85451.43000000001,37.55
2009,32782.8628598493,84515.37,38.79
2010,34435.481368714885,90538.22,38.03
2011,38449.32193036811,100371.27,38.31
2012,38976.261093360394,95657.442136,40.75
2013,37975.491460590005,99693.45356499999,38.09
2014,39062.93473624329,103937.367787,37.58
2015,35192.116790183514,97952.858767,35.93
2016,38471.969029704705,112792.44906000001,34.11
2017,41072.540309974946,116820.945806,35.16
2018,42214.05345028508,117548.802112,35.91
2019,39870.43548724818,111467.14333899999,35.77
2020,48141.91212964324,130352.652026,36.93
2021,53926.18554330746,147599.473709,36.54
2022,45417.39547207009,176059.515419,25.8
2023,51215.44484532872,198676.439475,25.78
